Link_Candidato,Experiencia
https://scrap-example.onrender.com/scraping.html32,"especialista em segurança de ti pleno css3, web, desenvolvimento, estratégica, proatividade, resultados"
https://scrap-example.onrender.com/scraping.html33,"desenvolvedor web pleno gerenciamento, aprender, resolução, javascript, projetos, estratégica"
https://scrap-example.onrender.com/scraping.html34,"cientista de dados sênior proatividade, trabalho, uiux, dados, estratégica, novas"
https://scrap-example.onrender.com/scraping.html35,"analista de integração de sistemas pleno visão, resultados, estratégica, comprometimento, desenvolvimento, projetos"
https://scrap-example.onrender.com/scraping.html36,"desenvolvedor de jogos pleno comprometimento, projetos, html5, resolução, desenvolvimento, estratégica"
https://scrap-example.onrender.com/scraping.html37,"engenheira de dados nível mudanças, uiux, problemas, estratégica, desenvolvimento, entregas"
https://scrap-example.onrender.com/scraping.html38,"analista de suporte a sistemas pleno adaptabilidade, proatividade, equipe, gerenciamento, novas, aprender"
https://scrap-example.onrender.com/scraping.html39,"especialista em machine learning sênior teste, resolução, html5, uiux, desenvolvimento, estratégica"
https://scrap-example.onrender.com/scraping.html40,"desenvolvedor android pleno css3, javascript, novas, estratégica, desenvolvimento, gerenciamento"
https://scrap-example.onrender.com/scraping.html41,"analista de segurança cibernética pleno aprender, resultados, proatividade, estratégica, gerenciamento, uiux"
https://scrap-example.onrender.com/scraping.html42,"gerente de projetos de ti nível sênior problemas, vue, banco, comprometimento, trabalho, estratégica"
https://scrap-example.onrender.com/scraping.html43,"arquiteta de soluções cloud web, equipe, entregas, resolução, projetos, mudanças"
https://scrap-example.onrender.com/scraping.html44,"analista de redes de computadores pleno novas, html5, desenvolvimento, comprometimento, estratégica, proatividade"
https://scrap-example.onrender.com/scraping.html45,"engenheira de software front-end pleno javascript, projetos, estratégica, resolução, teste, uiux"
https://scrap-example.onrender.com/scraping.html46,"desenvolvedor ios pleno gerenciamento, dados, comprometimento, aprender, mudanças, desenvolvimento"
https://scrap-example.onrender.com/scraping.html47,"desenvolvedr full steck senior problemas, uiux, trabalho, estratégica, adaptabilidade, desenvolvimento"
https://scrap-example.onrender.com/scraping.html48,"designer uiux junior reactjs, proatividade, entregas, comunicação, visão, desenvolvimento"
https://scrap-example.onrender.com/scraping.html49,"engenheiro de dados gerenciamento, resultados, objetiva, estratégica, novas, teste"
https://scrap-example.onrender.com/scraping.html50,"dono do produto senior javascript, css3, desenvolvimento, resolução, projetos, mudanças"
https://scrap-example.onrender.com/scraping.html51,"engenheiro de devops web, estratégica, vue, html5, comprometimento, aprender"
https://scrap-example.onrender.com/scraping.html52,"designer ui e desenvolvedor front-end prazos, equipe, bootstrap, dados, proatividade, trabalho"
https://scrap-example.onrender.com/scraping.html53,"arquiteto de soluções em cloud teste, uiux, desenvolvimento, comprometimento, gerenciamento, mudanças"
https://scrap-example.onrender.com/scraping.html54,"teste de software reactjs, css3, banco, visão, problemas, estratégica"
https://scrap-example.onrender.com/scraping.html55,"desenvolvedor web full stack aprender, resolução, objetiva, projetos, software, tecnologias"
https://scrap-example.onrender.com/scraping.html56,"analista de dados senior gerenciamento, comunicação, html5, javascript, vue, novas"
https://scrap-example.onrender.com/scraping.html57,"desenvolvedo python junior adaptabilidade, foco, entregas, trabalho, uiux, mudanças"
https://scrap-example.onrender.com/scraping.html58,"desenvolvedor front-end desenvolvimento, proatividade, comprometimento, equipe, estratégica, resultados"
https://scrap-example.onrender.com/scraping.html59,engenheiro de máquina de aprendizado adaptabilidade bootstrap clara comprometimento comunicação css3 dados  equipe estratégica foco
https://scrap-example.onrender.com/scraping.html60,admnistrador de base de dadosad arquitetura banco bootstrap clara comprometimentodisposição entregas equipe estratégica foco gerenciamento objetiva prazos proatividade problemas programação projetos reactjs resolução resultados software tecnologias teste trabalho ui ux visão vue web
https://scrap-example.onrender.com/scraping.html61,desenvolvedor mobile adaptabilidade aprender arquitetura banco bootstrap clara comprometimento comunicação css3 dados desenvolvimento disposição entregas equipe estratégica foco gerenciamento tecnologias teste trabalho ui ux visão vue web
https://scrap-example.onrender.com/scraping.html62,dono do produto adaptabilidade aprender arquitetura banco bootstrap clara comprometimento comunicação css3 dados desenvolvimento programação projetos reactjs resolução resultados software tecnologias teste trabalho ui ux visão vue web
https://scrap-example.onrender.com/scraping.html63,cientista de dados adaptabilidade aprender arquitetura banco bootstrap clara comprometimento comunicação css3 equipe estratégica foco gerenciamento html5 javascript jquery js mudanças novas objetiva prazos proatividade problemas programação projetos 
https://scrap-example.onrender.com/scraping.html64,designer uiux adaptabilidade proatividade problemas programação projetos reactjs resolução resultados software tecnologias teste trabalho ui ux visão vue web
https://scrap-example.onrender.com/scraping.html65,engenheiro de software e especialista em devops adaptabilidade aprender disposição entregas equipe estratégica foco gerenciamento html5 javascript jquery js mudanças novas objetiva prazos proatividade problemas programação 
https://scrap-example.onrender.com/scraping.html66,desenvolvedor back-end adaptabilidade aprender arquitetura banco bootstrap clara comprometimento comunicação css3 dados desenvolvimento disposição  prazos proatividade problemas programação projetos reactjs resolução resultados software tecnologias teste trabalho 
https://scrap-example.onrender.com/scraping.html67,desenvolvedor python senior e graduação depuração comunicação css3 dados desenvolvimento disposição entregas equipe estratégica foco gerenciamento html5 javascript jquery js mudanças novas objetiva prazos proatividade problemas 
https://scrap-example.onrender.com/scraping.html68,desenvolvedor python senior mudanças novas objetiva prazos proatividade problemas programação projetos reactjs resolução resultados software tecnologias teste trabalho ui ux visão vue web
https://scrap-example.onrender.com/scraping.html69,desenvolvedor front-end e desenvolvedor python adaptabilidade aprender arquitetura banco bootstrap clara comprometimento comunicação css3 dados desenvolvimento disposição entregas equipe estratégica
